2023-11-27 16:52:49,830 INFO    : Initialize...
2023-11-27 16:52:49,833 INFO    : EVOLVE[0-gen]-Begin to evaluate the fitness
2023-11-27 16:53:09,967 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 16:53:09,968 INFO    : Begin to train particle00_00
2023-11-27 16:53:10,902 INFO    : Begin to train particle00_01
2023-11-27 17:15:38,966 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 17:15:38,966 INFO    : Begin to train particle00_02
2023-11-27 17:15:38,977 INFO    : Begin to train particle00_03
2023-11-27 17:36:35,482 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 17:36:35,483 INFO    : Begin to train particle00_04
2023-11-27 17:36:35,493 INFO    : Begin to train particle00_05
2023-11-27 17:55:37,439 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 17:55:37,439 INFO    : Begin to train particle00_06
2023-11-27 17:55:37,452 INFO    : Begin to train particle00_07
2023-11-27 18:13:03,024 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 18:13:03,024 INFO    : Begin to train particle00_08
2023-11-27 18:13:03,035 INFO    : Begin to train particle00_09
2023-11-27 18:35:25,211 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 18:35:25,212 INFO    : Begin to train particle00_10
2023-11-27 18:35:25,226 INFO    : Begin to train particle00_11
2023-11-27 18:54:22,354 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 18:54:22,354 INFO    : Begin to train particle00_12
2023-11-27 18:54:22,366 INFO    : Begin to train particle00_13
2023-11-27 19:15:12,549 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 19:15:12,550 INFO    : Begin to train particle00_14
2023-11-27 19:15:12,559 INFO    : Begin to train particle00_15
2023-11-27 19:36:43,526 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 19:36:43,527 INFO    : Begin to train particle00_16
2023-11-27 19:36:43,538 INFO    : Begin to train particle00_17
2023-11-27 19:51:10,459 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 19:51:10,460 INFO    : Begin to train particle00_18
2023-11-27 19:51:10,475 INFO    : Begin to train particle00_19
2023-11-27 20:12:31,632 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
2023-11-27 20:12:51,731 INFO    : GPU_QUERY-Available GPUs are: [0,1], choose GPU#0 to use
